page,image_index,file_name,source_name,bytes,sha256,path,unique_path
3,6,page-03-image-06.png,X21.png,10836,8d3dec785d09ec623002486af008ceb66aa0c3631a20e4d070a2ebc48c75cd05,D:\git\outputs\pdf\site_image_0616\embedded_images\page-03\page-03-image-06.png,D:\git\outputs\pdf\site_image_0616\unique_images\8d3dec785d09ec62.png
3,7,page-03-image-07.png,X23.png,1981,aa0ddb255cde57ac53b860efcbd4a5fcb903d36a55c49f112efe67c7237ad113,D:\git\outputs\pdf\site_image_0616\embedded_images\page-03\page-03-image-07.png,D:\git\outputs\pdf\site_image_0616\unique_images\aa0ddb255cde57ac.png
3,8,page-03-image-08.png,X15.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-03\page-03-image-08.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
3,9,page-03-image-09.png,X15.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-03\page-03-image-09.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
3,10,page-03-image-10.png,X15.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-03\page-03-image-10.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
3,11,page-03-image-11.png,X37.png,92454,fd4bcf7ce2d64388eb45cf451075894747c1ec5cd256e092f572fcd8f3853529,D:\git\outputs\pdf\site_image_0616\embedded_images\page-03\page-03-image-11.png,D:\git\outputs\pdf\site_image_0616\unique_images\fd4bcf7ce2d64388.png
3,12,page-03-image-12.png,X15.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-03\page-03-image-12.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
3,13,page-03-image-13.png,X15.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-03\page-03-image-13.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
3,14,page-03-image-14.png,X15.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-03\page-03-image-14.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
3,15,page-03-image-15.png,X45.png,568736,fa59475b9967d0b60f62268ca698d2d8cd425dd4afe457175e9e921425aa806d,D:\git\outputs\pdf\site_image_0616\embedded_images\page-03\page-03-image-15.png,D:\git\outputs\pdf\site_image_0616\unique_images\fa59475b9967d0b6.png
3,16,page-03-image-16.png,X46.png,624395,582a28d007886bb817c0ef8569b3faa9808a54e261c89cf2275f075a351f6ade,D:\git\outputs\pdf\site_image_0616\embedded_images\page-03\page-03-image-16.png,D:\git\outputs\pdf\site_image_0616\unique_images\582a28d007886bb8.png
4,1,page-04-image-01.png,X4.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-01.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
4,2,page-04-image-02.png,X4.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-02.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
4,3,page-04-image-03.png,X4.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-03.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
4,4,page-04-image-04.png,X16.png,29551,e1ec2e9944a2911b673272ec6e04ca76fa9ebb4f2ef2c2535342c488b5f49a46,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-04.png,D:\git\outputs\pdf\site_image_0616\unique_images\e1ec2e9944a2911b.png
4,5,page-04-image-05.png,X4.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-05.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
4,6,page-04-image-06.png,X16.png,29551,e1ec2e9944a2911b673272ec6e04ca76fa9ebb4f2ef2c2535342c488b5f49a46,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-06.png,D:\git\outputs\pdf\site_image_0616\unique_images\e1ec2e9944a2911b.png
4,7,page-04-image-07.png,X4.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-07.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
4,8,page-04-image-08.png,X16.png,29551,e1ec2e9944a2911b673272ec6e04ca76fa9ebb4f2ef2c2535342c488b5f49a46,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-08.png,D:\git\outputs\pdf\site_image_0616\unique_images\e1ec2e9944a2911b.png
4,9,page-04-image-09.png,X4.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-09.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
4,10,page-04-image-10.png,X16.png,29551,e1ec2e9944a2911b673272ec6e04ca76fa9ebb4f2ef2c2535342c488b5f49a46,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-10.png,D:\git\outputs\pdf\site_image_0616\unique_images\e1ec2e9944a2911b.png
4,11,page-04-image-11.png,X4.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-11.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
4,12,page-04-image-12.png,X32.png,5436,cc4ab501a4396a33d17144d28f8d0ac353901624db91f4c51801133b562bd9e6,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-12.png,D:\git\outputs\pdf\site_image_0616\unique_images\cc4ab501a4396a33.png
4,13,page-04-image-13.png,X34.png,8527,62afd20a268734145efa1c6ef94aa6968a6731647f0b9ed01260d1c70f206605,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-13.png,D:\git\outputs\pdf\site_image_0616\unique_images\62afd20a26873414.png
4,14,page-04-image-14.png,X36.png,5145,33691c9fb1187e68ddb4013657ff667c9e195149d87e484ee8944754712c559d,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-14.png,D:\git\outputs\pdf\site_image_0616\unique_images\33691c9fb1187e68.png
4,15,page-04-image-15.png,X38.png,5724,0506930db157ea7895604e5aa638a7e1cf73345156fbb8a5a310de826ce7e95a,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-15.png,D:\git\outputs\pdf\site_image_0616\unique_images\0506930db157ea78.png
4,16,page-04-image-16.png,X40.png,31408,4c26da790269d6bac36cc1e86a609ebc37c8e7319a8bd8821d12b5e675a26066,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-16.png,D:\git\outputs\pdf\site_image_0616\unique_images\4c26da790269d6ba.png
4,17,page-04-image-17.png,X42.png,6470,6ba4c810501b9a731d75dd73c78f5ca274e2b11ff190ac8ffa25c12e7f21dc49,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-17.png,D:\git\outputs\pdf\site_image_0616\unique_images\6ba4c810501b9a73.png
4,18,page-04-image-18.png,X44.png,566488,458308b53ee59fbe117d84fcd09a690938355b233af2249549c463a363183dda,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-18.png,D:\git\outputs\pdf\site_image_0616\unique_images\458308b53ee59fbe.png
4,19,page-04-image-19.png,X45.png,552926,3a131c425f527f8d94bf0020a7675a8e809c85d205364a64eb0fb55261ef62c5,D:\git\outputs\pdf\site_image_0616\embedded_images\page-04\page-04-image-19.png,D:\git\outputs\pdf\site_image_0616\unique_images\3a131c425f527f8d.png
5,1,page-05-image-01.png,X4.png,31408,4c26da790269d6bac36cc1e86a609ebc37c8e7319a8bd8821d12b5e675a26066,D:\git\outputs\pdf\site_image_0616\embedded_images\page-05\page-05-image-01.png,D:\git\outputs\pdf\site_image_0616\unique_images\4c26da790269d6ba.png
5,2,page-05-image-02.png,X7.png,7729,9f42f45a3549a9a94d7cdb32c0f79959326b14da880a22bc187fb6ee05beaa69,D:\git\outputs\pdf\site_image_0616\embedded_images\page-05\page-05-image-02.png,D:\git\outputs\pdf\site_image_0616\unique_images\9f42f45a3549a9a9.png
5,3,page-05-image-03.png,X10.png,29551,e1ec2e9944a2911b673272ec6e04ca76fa9ebb4f2ef2c2535342c488b5f49a46,D:\git\outputs\pdf\site_image_0616\embedded_images\page-05\page-05-image-03.png,D:\git\outputs\pdf\site_image_0616\unique_images\e1ec2e9944a2911b.png
5,4,page-05-image-04.png,X14.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-05\page-05-image-04.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
5,5,page-05-image-05.png,X20.png,751479,27a9cbd70875c3926895d60cfa7eae643f36a2a8e2076d20adf21c3f931b8de9,D:\git\outputs\pdf\site_image_0616\embedded_images\page-05\page-05-image-05.png,D:\git\outputs\pdf\site_image_0616\unique_images\27a9cbd70875c392.png
5,6,page-05-image-06.png,X21.png,10836,8d3dec785d09ec623002486af008ceb66aa0c3631a20e4d070a2ebc48c75cd05,D:\git\outputs\pdf\site_image_0616\embedded_images\page-05\page-05-image-06.png,D:\git\outputs\pdf\site_image_0616\unique_images\8d3dec785d09ec62.png
5,7,page-05-image-07.png,X23.png,1981,aa0ddb255cde57ac53b860efcbd4a5fcb903d36a55c49f112efe67c7237ad113,D:\git\outputs\pdf\site_image_0616\embedded_images\page-05\page-05-image-07.png,D:\git\outputs\pdf\site_image_0616\unique_images\aa0ddb255cde57ac.png
5,8,page-05-image-08.png,X25.png,6470,6ba4c810501b9a731d75dd73c78f5ca274e2b11ff190ac8ffa25c12e7f21dc49,D:\git\outputs\pdf\site_image_0616\embedded_images\page-05\page-05-image-08.png,D:\git\outputs\pdf\site_image_0616\unique_images\6ba4c810501b9a73.png
5,9,page-05-image-09.png,X27.png,1031743,deb5f582e3ff33584cf0f296d71c247e13c36285fadf0674fb0e9a1053ee9a58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-05\page-05-image-09.png,D:\git\outputs\pdf\site_image_0616\unique_images\deb5f582e3ff3358.png
6,1,page-06-image-01.png,X4.png,31408,4c26da790269d6bac36cc1e86a609ebc37c8e7319a8bd8821d12b5e675a26066,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-01.png,D:\git\outputs\pdf\site_image_0616\unique_images\4c26da790269d6ba.png
6,2,page-06-image-02.png,X7.png,7729,9f42f45a3549a9a94d7cdb32c0f79959326b14da880a22bc187fb6ee05beaa69,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-02.png,D:\git\outputs\pdf\site_image_0616\unique_images\9f42f45a3549a9a9.png
6,3,page-06-image-03.png,X11.png,1199457,fa7e7e4cdff121af9bea2d1cb3aadf2c4e7f59350c4e07eea594a51b6f418d0b,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-03.png,D:\git\outputs\pdf\site_image_0616\unique_images\fa7e7e4cdff121af.png
6,4,page-06-image-04.png,X12.png,29551,e1ec2e9944a2911b673272ec6e04ca76fa9ebb4f2ef2c2535342c488b5f49a46,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-04.png,D:\git\outputs\pdf\site_image_0616\unique_images\e1ec2e9944a2911b.png
6,5,page-06-image-05.png,X16.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-05.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
6,6,page-06-image-06.png,X21.png,10836,8d3dec785d09ec623002486af008ceb66aa0c3631a20e4d070a2ebc48c75cd05,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-06.png,D:\git\outputs\pdf\site_image_0616\unique_images\8d3dec785d09ec62.png
6,7,page-06-image-07.png,X23.png,1981,aa0ddb255cde57ac53b860efcbd4a5fcb903d36a55c49f112efe67c7237ad113,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-07.png,D:\git\outputs\pdf\site_image_0616\unique_images\aa0ddb255cde57ac.png
6,8,page-06-image-08.png,X25.png,17197,0ace19d478369258e3b741c6b38ef34e689aa751758cfbda102c9527243af9a4,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-08.png,D:\git\outputs\pdf\site_image_0616\unique_images\0ace19d478369258.png
6,9,page-06-image-09.png,X27.png,596647,6ab8ad6fd1c4841bc2baaf19b15e98fcda557de2a4302ae1e72ee24e387cf9e8,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-09.png,D:\git\outputs\pdf\site_image_0616\unique_images\6ab8ad6fd1c4841b.png
6,10,page-06-image-10.png,X29.png,363471,5ce1041221078f2c50c37594b3b4c0bd6b808940acddfd593c40d41311801938,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-10.png,D:\git\outputs\pdf\site_image_0616\unique_images\5ce1041221078f2c.png
6,11,page-06-image-11.png,X30.png,13535,20c45d2eb7228f84eb25cefa5677f7f252cadc512f1b3e653deb14609b4c7ada,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-11.png,D:\git\outputs\pdf\site_image_0616\unique_images\20c45d2eb7228f84.png
6,12,page-06-image-12.png,X31.png,9576,81e67edb7fa915ec5751307bcaedb18d4bb92aeebd54c4d109ab6b95822e50c0,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-12.png,D:\git\outputs\pdf\site_image_0616\unique_images\81e67edb7fa915ec.png
6,13,page-06-image-13.png,X33.png,6470,6ba4c810501b9a731d75dd73c78f5ca274e2b11ff190ac8ffa25c12e7f21dc49,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-13.png,D:\git\outputs\pdf\site_image_0616\unique_images\6ba4c810501b9a73.png
7,1,page-07-image-01.png,X4.png,31408,4c26da790269d6bac36cc1e86a609ebc37c8e7319a8bd8821d12b5e675a26066,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-01.png,D:\git\outputs\pdf\site_image_0616\unique_images\4c26da790269d6ba.png
7,2,page-07-image-02.png,X9.png,7729,9f42f45a3549a9a94d7cdb32c0f79959326b14da880a22bc187fb6ee05beaa69,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-02.png,D:\git\outputs\pdf\site_image_0616\unique_images\9f42f45a3549a9a9.png
7,3,page-07-image-03.png,X11.png,956924,1ce916a54c6fed27662013bf0f69b13f4a7387b65237f3b49000e8e5d337ff68,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-03.png,D:\git\outputs\pdf\site_image_0616\unique_images\1ce916a54c6fed27.png
7,4,page-07-image-04.png,X14.png,17197,0ace19d478369258e3b741c6b38ef34e689aa751758cfbda102c9527243af9a4,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-04.png,D:\git\outputs\pdf\site_image_0616\unique_images\0ace19d478369258.png
7,5,page-07-image-05.png,X16.png,29551,e1ec2e9944a2911b673272ec6e04ca76fa9ebb4f2ef2c2535342c488b5f49a46,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-05.png,D:\git\outputs\pdf\site_image_0616\unique_images\e1ec2e9944a2911b.png
7,6,page-07-image-06.png,X20.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-06.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
7,7,page-07-image-07.png,X25.png,43526,b0b03a3c64fb4f0c1094edfc10327e01eea97c7d3dead34a04dad30fc516b7f0,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-07.png,D:\git\outputs\pdf\site_image_0616\unique_images\b0b03a3c64fb4f0c.png
7,8,page-07-image-08.png,X27.png,257139,41cc318c1f996dfe91807d8ba9992de6c8e84db94db4754bdb55448bf4e3d4b1,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-08.png,D:\git\outputs\pdf\site_image_0616\unique_images\41cc318c1f996dfe.png
7,9,page-07-image-09.png,X16.png,29551,e1ec2e9944a2911b673272ec6e04ca76fa9ebb4f2ef2c2535342c488b5f49a46,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-09.png,D:\git\outputs\pdf\site_image_0616\unique_images\e1ec2e9944a2911b.png
7,10,page-07-image-10.png,X20.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-10.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
7,11,page-07-image-11.png,X33.png,6470,6ba4c810501b9a731d75dd73c78f5ca274e2b11ff190ac8ffa25c12e7f21dc49,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-11.png,D:\git\outputs\pdf\site_image_0616\unique_images\6ba4c810501b9a73.png
